Wavelength,400 nm,442 nm,500 nm,550 nm,600 nm,650 nm,700 nm,Large chequerboard (white),Large chequerboard (black),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Small chequerboard (white),Small chequerboard (black)
350,0.012006,0.202521,0.030923,0.0362735,0.026981,0.010054,0.004401,0.132278,0.0537855,0.378116,0.051132,0.056402,0.11599,0.100236,0.052475,0.092889,0.108385,0.07396,0.086177,0.094526,0.067565,0.080742,0.092309,0.0814,0.065907,0.069753,0.099984,0.095642,0.09757,0.169593,0.125857,0.096412,0.089113,0.054498,0.038676,0.102575,0.043243
351,0.006814,0.198581,0.029542,0.042121,0.02757,0.004919,0.002351,0.1265765,0.0528445,0.367785,0.047265,0.056057,0.114395,0.099399,0.050933,0.093365,0.105279,0.072413,0.086316,0.092461,0.0634,0.077644,0.089291,0.079579,0.06617,0.068659,0.10086,0.095702,0.099515,0.163845,0.124269,0.094184,0.087011,0.055061,0.037388,0.0953795,0.040845
352,0.002598,0.195544,0.028295,0.0445115,0.025354,0.005265,0.004721,0.122744,0.0528085,0.362227,0.043924,0.058463,0.115914,0.099594,0.051555,0.091968,0.106265,0.072805,0.08849,0.092655,0.064981,0.078364,0.08975,0.080916,0.068676,0.068875,0.099757,0.095675,0.102353,0.160785,0.121955,0.094801,0.087593,0.056175,0.039113,0.09221,0.040556
353,0.000385,0.194261,0.027017,0.043441,0.021129,0.008694,0.009492,0.1201105,0.0534295,0.359881,0.041739,0.06175,0.118606,0.100079,0.052906,0.089676,0.109122,0.073747,0.091045,0.093712,0.069425,0.080876,0.091599,0.083647,0.071391,0.069511,0.097212,0.095081,0.104592,0.159282,0.119204,0.096493,0.089451,0.057324,0.041811,0.091326,0.0417015
354,0.007001,0.200602,0.025028,0.0377035,0.017781,0.00313,0.007838,0.1168565,0.0544255,0.356326,0.044175,0.058849,0.115559,0.097785,0.049142,0.089634,0.106503,0.069585,0.087241,0.090386,0.067099,0.078427,0.08673,0.081596,0.065556,0.066959,0.09372,0.090854,0.099201,0.155581,0.116409,0.092683,0.087516,0.056339,0.037338,0.0869875,0.043069
355,0.011669,0.206571,0.024455,0.0390905,0.023435,0.004951,0.014028,0.1128475,0.0547265,0.352302,0.043759,0.057669,0.112812,0.096183,0.049858,0.08816,0.105187,0.06629,0.085626,0.088848,0.06685,0.076073,0.083867,0.078923,0.063848,0.06512,0.091001,0.088114,0.096858,0.151126,0.113366,0.090948,0.086641,0.054928,0.035905,0.083604,0.0431265
356,0.014233,0.211185,0.028879,0.044791,0.031004,0.008444,0.02056,0.1093355,0.0549665,0.348776,0.043394,0.056842,0.111251,0.095448,0.051825,0.086932,0.104262,0.065093,0.085474,0.089214,0.067156,0.074207,0.082555,0.077026,0.064855,0.064133,0.089284,0.087158,0.096809,0.147666,0.111307,0.090352,0.086091,0.054195,0.036361,0.081446,0.042612
357,0.013452,0.212648,0.04587,0.0538305,0.032778,0.007344,0.018274,0.107802,0.0557975,0.346849,0.046182,0.055021,0.112338,0.09617,0.052401,0.087778,0.102881,0.068334,0.086769,0.092649,0.066702,0.073364,0.083025,0.077669,0.068586,0.064524,0.089208,0.089178,0.099465,0.147336,0.111915,0.090447,0.085208,0.055632,0.038513,0.081415,0.041968
358,0.007106,0.201022,0.032943,0.044456,0.024011,0.002858,0.007957,0.1062165,0.0553,0.345162,0.044308,0.057946,0.113455,0.098201,0.053229,0.088358,0.104213,0.067462,0.086795,0.092818,0.069566,0.073594,0.0822,0.080601,0.068827,0.064282,0.087971,0.090426,0.099877,0.1464,0.112929,0.09158,0.085905,0.055572,0.03946,0.0792735,0.042987
359,0.004793,0.19829,0.022611,0.038531,0.020536,0.004061,0.004167,0.104102,0.054629,0.343637,0.043213,0.059723,0.11356,0.099121,0.052965,0.088443,0.10514,0.064791,0.086582,0.092737,0.072111,0.073658,0.081282,0.08126,0.067369,0.063214,0.086894,0.08984,0.099302,0.144667,0.112611,0.092225,0.086792,0.055972,0.039164,0.0766365,0.043693
360,0.010545,0.213629,0.026567,0.0442225,0.028766,0.0151,0.013097,0.1012095,0.0540955,0.34224,0.044596,0.058532,0.112242,0.098124,0.051086,0.087917,0.104721,0.060733,0.086404,0.093279,0.073305,0.073171,0.080588,0.078071,0.064522,0.061138,0.08635,0.086891,0.097996,0.141938,0.110295,0.091896,0.087502,0.057479,0.037473,0.073874,0.043481
361,0.004788,0.211976,0.028628,0.040015,0.022806,0.00815,0.007446,0.1013805,0.056061,0.341592,0.04515,0.058408,0.110886,0.098308,0.052137,0.089594,0.104123,0.062165,0.087991,0.093182,0.073656,0.072289,0.079835,0.078399,0.064619,0.058836,0.085328,0.08918,0.100812,0.141962,0.110463,0.092363,0.089523,0.056408,0.038065,0.0756395,0.043847
362,0.004708,0.21132,0.032589,0.041426,0.021664,0.00689,0.006273,0.1002995,0.056498,0.340734,0.044085,0.058891,0.111207,0.098488,0.052814,0.090339,0.104122,0.062904,0.089462,0.093167,0.073758,0.072118,0.078569,0.078973,0.06483,0.058195,0.084369,0.091079,0.102418,0.141615,0.1113,0.092812,0.089552,0.057015,0.038491,0.074917,0.043902
363,0.009504,0.211386,0.036979,0.0468185,0.025132,0.010887,0.00899,0.098198,0.055611,0.339823,0.041934,0.059669,0.112705,0.098709,0.052964,0.090238,0.104625,0.062858,0.090655,0.093332,0.073907,0.072533,0.077064,0.079683,0.065136,0.058905,0.083498,0.092341,0.102753,0.140984,0.112504,0.093243,0.088164,0.058918,0.038735,0.072072,0.0437535
364,0.00587,0.20062,0.026873,0.0354695,0.024267,0.007034,0.002489,0.0978375,0.0554725,0.340624,0.042501,0.058631,0.111691,0.099932,0.052127,0.090461,0.105063,0.063085,0.090695,0.094412,0.076466,0.072681,0.077555,0.081257,0.066789,0.059051,0.082771,0.09264,0.102201,0.141863,0.112775,0.093997,0.09012,0.058488,0.039569,0.070965,0.0445065
365,0.013624,0.208053,0.030029,0.039973,0.03032,0.010491,0.010934,0.096662,0.055234,0.340264,0.043754,0.059026,0.112332,0.101271,0.051789,0.092032,0.106091,0.063082,0.090851,0.094498,0.078213,0.072375,0.077792,0.081363,0.065593,0.058899,0.082607,0.092598,0.102679,0.142729,0.113699,0.094729,0.091366,0.058241,0.039665,0.06968,0.0436765
366,0.021727,0.21953,0.036993,0.047932,0.035447,0.015503,0.020995,0.095518,0.0551755,0.339671,0.045096,0.059772,0.113854,0.102584,0.052011,0.094229,0.107343,0.062694,0.091496,0.094552,0.079422,0.071996,0.077904,0.0813,0.063738,0.058561,0.082782,0.09306,0.103703,0.143728,0.114938,0.095535,0.09205,0.058432,0.039401,0.0687905,0.042754
367,0.011299,0.213516,0.034072,0.040148,0.025316,0.013299,0.010755,0.0958205,0.0559215,0.34023,0.045662,0.059311,0.115691,0.10369,0.053349,0.096418,0.108439,0.061328,0.093701,0.096216,0.080225,0.072124,0.078022,0.08318,0.064396,0.058066,0.08318,0.095913,0.104919,0.14528,0.116224,0.096689,0.092032,0.059852,0.039132,0.069545,0.044188
